dip_angle_deg,trace_length_m
2.161475482047532637e+01,8.152913465305188234e-01
3.679719095234759152e+01,2.988175445922283124e-01
1.235616621561351280e+01,1.717489632802852384e+00
4.876931832404750367e+00,5.691704308580153304e-01
1.408738945377993446e+01,6.982379266096172543e-01
2.346584095037542284e+01,6.653724490122477908e-01
2.740030567045320709e+01,1.012445309904648205e+00
2.519421582925133407e+01,2.415031312278824505e+00
1.908403782988906983e+01,1.990885102608553614e-01
2.994503711932341616e+01,3.702996262283138607e-01
2.077901607379320126e+01,7.118848057160636067e-01
2.769213758641865297e+01,4.653876457225574748e-01
1.858474883367307484e+01,5.660250131220072589e-01
1.627800667891278863e+01,8.989540426961279973e-01
4.338494067778981389e+00,5.557782716382249077e-01
2.530110500170849264e+01,1.192678610898013858e+00
3.912096320651443193e+01,8.169481749275667171e-02
2.781876291381195188e+01,2.454103588418215853e+00
4.316500952350907028e+01,1.073731477239516785e+00
7.570655015297347745e+00,7.793948261321449467e-01
2.103232892230147399e+01,7.099244789663482491e-01
1.049126876285305343e+01,9.450274032510540545e-01
1.521978570381179452e+00,4.332070212508591367e-01
3.428136197151616216e+01,1.863208598151900874e+00
1.469366726232692599e+01,1.693046183528003068e+00
3.049150402424854178e+01,1.368944920272375798e+00
2.294795473222617943e+01,7.838230386703635144e-01
1.602829115465283394e+01,3.034926357388126328e-01
1.150408143759716495e+01,2.173404243880979470e-01
2.575975176296199720e+01,8.185745789054581500e-01
7.820985603611944725e+00,8.031699867666196591e-01
3.632658386486588142e+01,7.824754522101490251e-01
3.759649565094150603e+01,2.732976114576801119e-01
3.462857964914306308e+01,1.278739764221010211e-01
2.413005331065494374e+01,1.658686885514873699e-01
1.887693011783997576e+01,1.464187052905087771e+00
3.571795854717493057e+01,4.424412177169780858e-01
4.298236701521091163e+01,1.635451181701194745e+00
1.950324815581527105e+01,8.469978215742005045e-02
3.335392938461151857e+01,1.214833264329254980e+00
5.729041619924799988e+00,4.242001821738796696e-01
2.274011818226423998e+01,1.089807735843578040e+00
3.532910865847952664e+01,5.544084138044187426e-01
2.337342872866429389e+01,1.729972276347255589e+00
2.969546501990379284e+01,1.499576941657036477e-01
1.859581459080800414e+01,9.609614746818181397e-01
2.671994662145149846e+01,7.455667881698032629e-01
1.808779288781809669e+01,6.491132446306764336e-01
2.418705303920432925e+01,7.221236097672690812e-01
2.306600958458147943e+01,1.634925412621599961e+00
1.469364829827100039e+01,1.138228060325333635e+00
4.468540548579770189e+01,6.681420349253410773e-01
2.171138431294809834e+01,5.551209165755376373e-01
1.640425578458237510e+01,1.029802094578561533e+00
2.718798898276872933e+01,7.425119360916467848e-01
2.162551823188547928e+01,1.736748488065811280e+00
3.564352143206625101e+01,1.829511935997764349e-01
3.407249894225969911e+01,8.996591725019971175e-01
5.144811265636235476e+00,6.814329480804406369e-01
2.333940501208417118e+01,1.375952917645573814e+00
5.111820828169584274e+00,1.226241193643687000e+00
3.432688319706349489e+01,1.255195784626502165e-01
5.115556286182282975e+00,3.121337109982852964e-01
8.851211451692506671e+00,8.800873450159505396e-01
2.680156367481689017e+01,4.277748341945660226e-01
9.854175432119689049e+00,1.986513500270314370e-01
2.343009090749546885e+01,3.075916126604066880e-01
2.396642249892465770e+01,4.767826591284597959e-01
3.918021754128861289e+01,6.552729707610879251e-01
2.797032371163339803e+00,3.764258902082516789e-01
2.044326754286888104e+01,3.975264156066909971e-01
1.500882258871570230e+01,1.675673634097450959e+00
1.636061028228135683e+01,6.179931933289488644e-01
1.275286789401405940e+01,1.119141058960574781e-01
2.453885528258973636e+01,6.613797664432472523e-01
1.132616086395046295e-01,1.825091777626053346e-01
7.960746620083227754e+00,8.285598755054464082e-01
3.997938525862983283e+01,1.051495401547501291e-01
3.884126198943710051e+01,2.756378771611084355e-01
2.933639032300564509e+01,1.330919824021821629e+00
3.572543513146229088e+01,1.433335853898826784e+00
1.838715576566758614e+01,1.112690007405764847e+00
2.718358100275509059e+01,2.009150792341757974e+00
3.035391953657375552e+01,4.173333603438587058e-01
1.598214671364979722e+01,1.389672617240418129e+00
1.636617796146310866e+01,7.801473844392015078e-01
2.553024669410658021e+01,1.513802804408355351e+00
3.513929830281986710e+01,1.947513493879073632e-01
2.073090660036550048e+01,1.553146556086873464e-01
2.083420991082678597e+01,1.064149299693452733e+00
3.319478480843815760e+01,3.453843097953506192e-01
4.353802052792161703e+01,1.313875572109835188e+00
3.561159318080169101e+01,4.091044429026903795e-01
2.269659439567470827e+01,5.394326853657586129e-01
2.654355583945297781e+01,1.398793411360844952e-01
1.207282392075288158e+01,1.469089529451611753e+00
1.269367061904634397e+01,7.769724111612271722e-01
1.830835386877882343e+01,3.804157393123284159e-01
2.850960415089500088e+01,4.994507126371942052e-01
2.397286674706262488e+01,1.067262325753700392e+00
3.362879647524090387e+01,5.892610796434833986e-01
3.299003164633180063e+01,8.611884936221332332e-01
2.787600341252974090e+01,7.153299799077231791e-01
1.111754525802064109e+01,8.576064229192242871e-02
1.318629220942966640e+01,5.298642562046151916e-01
4.369042908190758112e+01,3.285874795317371144e-01
1.841893655830048715e+01,2.378744012950295417e-01
2.117331144399940968e+01,1.492257253113121074e+00
3.005359099013728041e+01,2.852367254807657293e-01
3.150295391678838541e+00,8.517889905485812596e-01
2.791682258946832462e+01,8.106833627883057447e-02
1.784698415198363364e+01,8.322610192847902377e-01
3.733715372043661773e+01,9.464050586291381517e-01
1.085853179334660013e+01,1.009517293991418985e+00
3.019056331599128384e+01,9.198821244636141703e-01
3.415298699517748560e+01,1.646111364406537547e-01
2.943499457091110116e+01,2.656857590656667711e-01
1.231058797216965672e+01,1.311896666631048591e-01
3.804220953374169767e+01,6.118211459877362923e-01
2.436152808484624188e+01,6.586715828310493182e-01
3.083995930035604260e+01,1.168801785836819512e-01
2.954785968409859720e+01,5.147504779665245112e-01
2.786873048753480475e+01,1.386558577044821661e+00
7.827156800776720047e+00,4.061228226377729400e-01
2.545773027115498621e+01,1.125136845921002715e+00
3.810926761943849783e+01,9.700663163411421541e-01
9.729921303223704854e+00,1.198908606081436207e-01
2.255537869990806144e+01,7.687401551580009817e-01
3.215541925979781013e+01,1.052490613155452337e+00
4.234722158638760448e+01,5.908082812137547268e-01
2.685655034263623975e+01,7.650789959836653553e-01
3.591635791235589181e+01,8.748218208858472844e-02
2.809422541293315589e+01,1.770711394100763225e-01
2.981250706594443045e+01,4.538382853412024076e-01
1.745577376219441135e+01,9.396013753974353788e-01
1.875031193601904533e+01,3.119307433449542422e-01
1.657630476169291001e+01,1.455397782914758631e+00
3.210758580244146287e+01,7.571514670915379108e-01
4.301501515670673825e+01,4.665282236058385656e-01
3.131642051856016451e+01,2.866686656071176231e-01
3.664944746182297308e+01,3.189077001636637099e-01
4.249650237034074962e+01,2.474587329303636063e-01
1.949737169779865553e+00,6.346087457077925764e-01
2.227756543317812543e+01,7.314322853044619155e-01
2.218704224098473787e+01,8.641781261078107512e-01
2.918143177404999733e+01,3.554193488669448175e-01
4.491230698884467643e+01,1.068583718508438141e+00
6.612013176782056689e+00,3.105992003947044000e-01
4.315466105821545284e+01,2.637697739900837779e-01
4.456436225445941091e+00,3.515791768163020192e-01
3.415857199346652351e+01,8.189286380117568598e-01
1.720789892482551409e+01,2.799701493840333066e-01
2.235124027705754202e+01,3.523296666461305238e-01
2.834480094141326845e+01,1.228859595246041547e-01
1.272212709649468820e+01,2.299463353063846693e-01
3.271470566745847464e+01,1.236878578900590053e+00
2.853209631750348763e+01,2.386777171859736646e-01
6.197640089085297177e+00,1.189595345317417951e+00
3.800650917459276457e+01,1.775953652363534696e-01
1.378297735936939716e+01,9.490153910090499689e-01
1.139539589756140003e+01,1.109998119548573914e-01
1.219313922571009812e+01,2.515419153242737238e-01
2.342942878953178365e+01,8.375825955156157576e-01
3.188719833735379439e+01,6.454810773576880045e-01
4.095707567408680916e+01,8.096164849355848014e-01
1.146577181294560432e+01,6.226230635216194464e-01
2.601298070861955125e+01,1.467987774510368937e-01
3.088996006641536951e+01,9.468609715510772906e-01
3.247094659600435307e+00,5.103461894333346516e-01
3.228219876182257053e+01,6.024605318584512759e-01
3.228219876182288317e+01,9.507625073292272355e-02
1.170211583375930786e+01,7.409009527119378991e-01
1.170211583375927944e+01,8.193760438513839617e-01
3.540642934734972869e+01,9.958165810821054120e-02
3.540642934734930236e+01,7.300664745337063222e-01
1.890307462541389327e+01,6.609868091978692295e-01
1.890307462541386485e+01,5.045380729283269750e-01
4.014843885786834221e+01,2.992919881863984610e-01
4.014843885786837063e+01,4.808997194836908129e-01
4.014843885786822852e+01,1.261879708557961666e-01
4.125713424989953637e+01,5.056628518137943340e-01
4.125713424989953637e+01,5.164023050715830232e-01
3.776360234362073243e+01,1.857870904442067150e+00
3.776360234362073243e+01,6.142443718933559005e-01
3.776360234362067558e+01,4.000830591038939121e-01
2.363969914033083342e+01,3.823455526120733139e-01
2.363969914033077657e+01,9.109698749354117053e-01
