dip_angle_deg,trace_length_m
2.161475482047531926e+01,8.152913465305184904e-01
3.679719095234758441e+01,2.988175445922283124e-01
1.235616621561350925e+01,1.717489632802852384e+00
4.876931832404736156e+00,5.691704308580156635e-01
1.408738945377992913e+01,6.982379266096172543e-01
2.346584095037542284e+01,6.653724490122479018e-01
2.740030567045321774e+01,1.012445309904648205e+00
2.519421582925133762e+01,2.415031312278824061e+00
1.908403782988908048e+01,1.990885102608552781e-01
2.994503711932341972e+01,3.702996262283146933e-01
2.077901607379319060e+01,7.118848057160636067e-01
2.769213758641864231e+01,4.653876457225578633e-01
1.858474883367308195e+01,5.660250131220077030e-01
1.627800667891277442e+01,8.989540426961279973e-01
4.338494067778987606e+00,5.557782716382244637e-01
2.530110500170848198e+01,1.192678610898014080e+00
3.912096320651441772e+01,8.169481749275664395e-02
2.781876291381194477e+01,2.454103588418216741e+00
4.316500952350906317e+01,1.073731477239516785e+00
7.570655015297361956e+00,7.793948261321449467e-01
2.103232892230147755e+01,7.099244789663483601e-01
1.049126876285304633e+01,9.450274032510541655e-01
1.521978570381191886e+00,4.332070212508596363e-01
3.428136197151616926e+01,1.863208598151900652e+00
1.469366726232693310e+01,1.693046183528003068e+00
3.049150402424854178e+01,1.368944920272375798e+00
2.294795473222617233e+01,7.838230386703632924e-01
1.602829115465283394e+01,3.034926357388125773e-01
1.150408143759715962e+01,2.173404243880976416e-01
2.575975176296200431e+01,8.185745789054581500e-01
7.820985603611942949e+00,8.031699867666195480e-01
3.632658386486587432e+01,7.824754522101491361e-01
3.759649565094152024e+01,2.732976114576803894e-01
3.462857964914306308e+01,1.278739764221006325e-01
2.413005331065495795e+01,1.658686885514873977e-01
1.887693011783997221e+01,1.464187052905088215e+00
3.571795854717492347e+01,4.424412177169778637e-01
4.298236701521090453e+01,1.635451181701194301e+00
1.950324815581528171e+01,8.469978215742007821e-02
3.335392938461151147e+01,1.214833264329254980e+00
5.729041619924810647e+00,4.242001821738794476e-01
2.274011818226425063e+01,1.089807735843577818e+00
3.532910865847951953e+01,5.544084138044187426e-01
2.337342872866429744e+01,1.729972276347256255e+00
2.969546501990379284e+01,1.499576941657041473e-01
1.859581459080800059e+01,9.609614746818184727e-01
2.671994662145149135e+01,7.455667881698042621e-01
1.808779288781809669e+01,6.491132446306764336e-01
2.418705303920431504e+01,7.221236097672683041e-01
2.306600958458149009e+01,1.634925412621599961e+00
1.469364829827099328e+01,1.138228060325333413e+00
4.468540548579770899e+01,6.681420349253412994e-01
2.171138431294810189e+01,5.551209165755373043e-01
1.640425578458236444e+01,1.029802094578561533e+00
2.718798898276873288e+01,7.425119360916467848e-01
2.162551823188548639e+01,1.736748488065811280e+00
3.564352143206625811e+01,1.829511935997767402e-01
3.407249894225969911e+01,8.996591725019968955e-01
5.144811265636227482e+00,6.814329480804404149e-01
2.333940501208417473e+01,1.375952917645573592e+00
5.111820828169584274e+00,1.226241193643687000e+00
3.432688319706349489e+01,1.255195784626499389e-01
5.115556286182287415e+00,3.121337109982852409e-01
8.851211451692506671e+00,8.800873450159509837e-01
2.680156367481690083e+01,4.277748341945661892e-01
9.854175432119678391e+00,1.986513500270314925e-01
2.343009090749546530e+01,3.075916126604063550e-01
2.396642249892464349e+01,4.767826591284600735e-01
3.918021754128862000e+01,6.552729707610875920e-01
2.797032371163336695e+00,3.764258902082517899e-01
2.044326754286887038e+01,3.975264156066908861e-01
1.500882258871570052e+01,1.675673634097451181e+00
1.636061028228134617e+01,6.179931933289488644e-01
1.275286789401404874e+01,1.119141058960573254e-01
2.453885528258972570e+01,6.613797664432476964e-01
1.132616086395064198e-01,1.825091777626055567e-01
7.960746620083239300e+00,8.285598755054466302e-01
3.997938525862983283e+01,1.051495401547501984e-01
3.884126198943708630e+01,2.756378771611083245e-01
2.933639032300563443e+01,1.330919824021822073e+00
3.572543513146230509e+01,1.433335853898827006e+00
1.838715576566757903e+01,1.112690007405765513e+00
2.718358100275509770e+01,2.009150792341757530e+00
3.035391953657374842e+01,4.173333603438589279e-01
1.598214671364980788e+01,1.389672617240418351e+00
1.636617796146310866e+01,7.801473844392016188e-01
2.553024669410657310e+01,1.513802804408355129e+00
3.513929830281987421e+01,1.947513493879076130e-01
2.073090660036549338e+01,1.553146556086870689e-01
2.083420991082677531e+01,1.064149299693452511e+00
3.319478480843814339e+01,3.453843097953508412e-01
4.353802052792161703e+01,1.313875572109835410e+00
3.561159318080168390e+01,4.091044429026902129e-01
2.269659439567470116e+01,5.394326853657585019e-01
2.654355583945298136e+01,1.398793411360848005e-01
1.207282392075287625e+01,1.469089529451611753e+00
1.269367061904635285e+01,7.769724111612270612e-01
1.830835386877883408e+01,3.804157393123283049e-01
2.850960415089501154e+01,4.994507126371940942e-01
2.397286674706263554e+01,1.067262325753700836e+00
3.362879647524088966e+01,5.892610796434833986e-01
3.299003164633179352e+01,8.611884936221332332e-01
2.787600341252973379e+01,7.153299799077230681e-01
1.111754525802065174e+01,8.576064229192237320e-02
1.318629220942966640e+01,5.298642562046151916e-01
4.369042908190758823e+01,3.285874795317372810e-01
1.841893655830048360e+01,2.378744012950295694e-01
2.117331144399940968e+01,1.492257253113121074e+00
3.005359099013727331e+01,2.852367254807655073e-01
3.150295391678846979e+00,8.517889905485813706e-01
